Data,Hora,Preco
2025-05-10,79,0.1
2025-05-10,80,0.1
2025-05-10,81,21.02
2025-05-10,82,21.02
2025-05-10,83,21.02
2025-05-10,84,21.02
2025-05-10,85,36.88
2025-05-10,86,36.88
2025-05-10,87,36.88
2025-05-10,88,36.88
2025-05-10,89,31.46
2025-05-10,90,31.46
2025-05-10,91,31.46
2025-05-10,92,31.46
2025-05-10,93,25.37
2025-05-10,94,25.37
2025-05-10,95,25.37
2025-05-10,96,25.37
